d,TC
1,1.196188357
2,1.164172463
3,1.1618641
4,1.24048998
5,1.189333654
6,1.131493407
7,1.067314633
8,1.103075603
9,1.097533842
10,1.105652873
11,1.103192338
12,1.14320278
13,1.109414845
14,1.055577466
15,1.078867988
16,1.069016595
17,1.064125081
18,1.067715581
19,1.05941179
20,1.007792105
21,1.011870763
22,1.012449388
23,0.98174124
24,1.008808314
25,0.975136542
26,0.992403489
27,0.971669911
28,0.971189952
29,0.922150687
30,0.902475693
31,0.906375683
32,0.907790268
33,0.889443557
34,0.904141837
35,0.936412847
36,0.886569121
37,0.878193798
38,0.894728042
39,0.896952045
40,0.899526063
41,0.922677611
42,0.901320723
43,0.873919582
44,0.85077423
45,0.83623557
46,0.843591157
47,0.83339507
48,0.866161871
49,0.828819369
50,0.791952471
51,0.805985333
52,0.80103103
53,0.787940144
54,0.802604954
55,0.811640936
56,0.829886018
57,0.824107507
58,0.810015157
59,0.848077344
60,0.837528133
61,0.791887577
62,0.750960283
63,0.792910708
64,0.771209343
65,0.776748096
66,0.824960442
67,0.783902942
68,0.79755812
69,0.781468766
70,0.788151226
71,0.765206206
72,0.766342818
73,0.75456792
74,0.745789125
75,0.743152941
76,0.797514745
77,0.803396015
78,0.766173648
79,0.73751682
80,0.702432344
81,0.732907715
82,0.73416208
83,0.762013518
84,0.773000249
85,0.786725907
86,0.73787463
87,0.762366116
88,0.765793712
89,0.755322035
90,0.749445818
91,0.76701577
92,0.778646491
93,0.808605242
94,0.774864357
95,0.773571109
96,0.784106031
97,0.789146595
98,0.767286177
99,0.774388526
100,0.798445102
101,0.769384488
102,0.80295548
103,0.839266925
104,0.837259057
105,0.816804291
106,0.817938242
107,0.836217922
108,0.846458069
109,0.846632152
110,0.832633048
111,0.832434829
112,0.796751263
113,0.81468684
114,0.818604376
115,0.82304949
116,0.792258544
117,0.816889782
118,0.855595843
119,0.8494776
120,0.885956411
121,0.89234481
122,0.862132847
123,0.86444119
124,0.887109226
125,0.902409983
126,0.885759674
127,0.841533293
128,0.867422793
129,0.886067049
130,0.896193291
131,0.890528506
132,0.930507149
133,0.910451195
134,0.887676981
135,0.836924923
136,0.865252546
137,0.877514127
138,0.890952234
139,0.929941962
140,0.92009613
141,0.944458942
142,0.944181188
143,0.943935061
144,0.939822657
145,0.955126999
146,0.964996828
147,0.965319175
148,0.958115674
149,0.919129891
150,0.955115442
151,0.987955274
152,0.902080867
153,0.892495791
154,0.930590204
155,0.922900967
156,0.951529598
157,0.936788049
158,0.91210984
159,0.922909976
160,0.921285568
161,0.940409844
162,1.011039973
163,1.061087631
164,1.003656218
165,1.013645262
166,1.042779557
167,1.064824236
168,1.040052193
169,1.075902661
170,1.068948851
171,1.072493729
172,1.117218731
173,1.081594607
174,1.066851684
175,1.08260039
176,1.113726539
177,1.174124248
178,1.149798224
179,1.141342761
180,1.145471541
181,1.108314242
182,1.201717226
183,1.055704541
184,1.000868601
185,1.016310038
186,1.05156349
187,1.029974585
188,1.099937282
189,1.099443841
190,1.105960824
191,1.112776248
192,1.13795631
193,1.147231677
194,1.1230022
195,1.040240737
196,1.107041409
197,1.054025841
198,0.998947507
199,0.985671069
200,0.980052191
201,1.066857015
202,1.083781154
203,1.103777306
204,1.091830241
205,1.103276032
206,1.111237969
207,1.140765421
208,1.16832808
209,1.238253238
210,1.168494181
211,1.079483341
212,1.120806679
213,1.163616914
214,1.216874168
215,1.263507972
216,1.311416273
217,1.225614912
