"","ID","Date","Mass","Length","Loc"
"1",4,1963-10-02,257.8,122,"EB"
"2",4,1990-11-06,408,135,"EB"
"5",4,2000-06-06,358.3,134.2,"Perth Zoo"
"11",4,2002-07-24,362.1,134.9,"Perth Zoo"
"13",4,2003-08-08,367.1,135.1,"Perth Zoo"
"16",4,2004-08-31,376.8,135,"Perth Zoo"
"31",4,2006-07-23,374,135.5,"Perth Zoo"
"33",4,2006-07-28,374,135.5,"EB"
"35",4,2006-09-29,392.4,135.4,"EB"
"36",4,2007-08-13,352,135.7,"EB"
"37",4,2007-11-19,374,136,"EB"
"38",4,2008-06-12,390,135,"EB"
"39",4,2010-10-08,362,134.7,"EB"
"40",4,2011-08-19,342,134.1,"EB"
"43",10,1981-11-06,367,132.6,"EB"
"44",10,1982-10-29,374,132.6,"EB"
"45",10,1989-11-07,355,132.1,"EB"
"46",10,1993-08-26,335,131.7,"EB"
"47",10,1994-07-01,329,131.8,"EB"
"48",10,1994-09-27,341,131.6,"EB"
"49",10,1998-10-31,352,131.3,"EB"
"50",10,2003-11-25,347,131,"EB"
"51",10,2006-09-03,330,131.2,"EB"
"52",10,2006-09-29,336.5,131.2,"EB"
"53",10,2007-08-04,319,131.3,"EB"
"55",10,2007-08-05,312.3,131.3,"Perth Zoo"
"57",10,2008-11-18,340,131.7,"EB"
"58",137,1975-06-27,38,62.2,"EB"
"59",137,1976-10-19,68,74.3,"EB"
"61",137,1978-10-05,91,80.2,"EB"
"62",137,1978-10-23,102,82.9,"EB"
"63",137,1989-11-07,260,113,"EB"
"64",137,1992-10-14,254,113.2,"EB"
"65",137,1994-05-30,217,113.8,"EB"
"66",137,1994-10-06,246,114.1,"EB"
"67",137,1995-11-17,232,115.2,"EB"
"68",137,1998-11-11,281,116.8,"EB"
"69",137,2003-11-10,296,118.7,"EB"
"70",137,2005-11-23,274,119.9,"EB"
"71",137,2006-07-28,259,120.2,"EB"
"72",137,2006-10-17,293,120,"EB"
"74",137,2008-11-18,312,120.2,"EB"
"75",137,2009-07-03,255,120.5,"EB"
"76",144,1976-10-24,77,77.3,"EB"
"77",144,1977-10-18,92,80.4,"EB"
"79",144,1979-06-12,108,89.2,"EB"
"80",144,1979-10-01,120,89.7,"EB"
"81",144,1980-07-30,124,91.1,"EB"
