ID,Date,Wet Weight (g),Carapace Length (mm),Locn.
4,2/10/1963,257.8,122,EB
4,6/11/1990,408,135,EB
4,20/11/1990,358,,Perth Zoo
4,7/11/1992,356,,EB
4,6/06/2000,358.3,134.2,Perth Zoo
4,11/12/2000,378,,Perth Zoo
4,15/03/2001,342,,Perth Zoo
4,7/06/2001,342,,Perth Zoo
4,14/12/2001,373.6,,Perth Zoo
4,3/06/2002,327.8,,Perth Zoo
4,24/07/2002,362.1,134.9,Perth Zoo
4,11/06/2003,334.8,,Perth Zoo
4,8/08/2003,367.1,135.1,Perth Zoo
4,22/12/2003,378.7,,Perth Zoo
4,5/06/2004,349.5,,Perth Zoo
4,31/08/2004,376.8,135,Perth Zoo
4,23/12/2004,378.2,,Perth Zoo
4,5/06/2005,327,,Perth Zoo
4,12/09/2005,383.8,,Perth Zoo
4,20/09/2005,391.6,,Perth Zoo
4,28/09/2005,400,,Perth Zoo
4,4/10/2005,406.1,,Perth Zoo
4,25/10/2005,422.6,,Perth Zoo
4,2/11/2005,428.4,,Perth Zoo
4,24/11/2005,381.6,,Perth Zoo
4,6/12/2005,379.9,,Perth Zoo
4,12/12/2005,379.7,,Perth Zoo
4,24/12/2005,377.7,,Perth Zoo
4,27/12/2005,377,,Perth Zoo
4,17/06/2006,348.6,,Perth Zoo
4,23/07/2006,374,135.5,Perth Zoo
4,23/07/2006,374,,Perth Zoo
4,28/07/2006,374,135.5,EB
4,28/07/2006,375.3,,Perth Zoo
4,29/09/2006,392.4,135.4,EB
4,13/08/2007,352,135.7,EB
4,19/11/2007,374,136,EB
4,12/06/2008,390,135,EB
4,8/10/2010,362,134.7,EB
4,19/08/2011,342,134.1,EB
10,13/10/1964,300.5,,EB
10,11/11/1964,360,,EB
10,6/11/1981,367,132.6,EB
10,29/10/1982,374,132.6,EB
10,7/11/1989,355,132.1,EB
10,26/08/1993,335,131.7,EB
10,1/07/1994,329,131.8,EB
10,27/09/1994,341,131.6,EB
10,31/10/1998,352,131.3,EB
10,25/11/2003,347,131,EB
10,3/09/2006,330,131.2,EB
10,29/09/2006,336.5,131.2,EB
10,4/08/2007,319,131.3,EB
10,4/08/2007,330,,Perth Zoo
10,5/08/2007,312.3,131.3,Perth Zoo
10,13/08/2007,321.2,,Perth Zoo
10,18/11/2008,340,131.7,EB
137,27/06/1975,38,62.2,EB
137,19/10/1976,68,74.3,EB
137,29/10/1976,70,,EB
