date,depth
25/11/1971,0
31/05/1972,0
1/06/1972,0
8/06/1972,0
14/06/1972,0
22/06/1972,0
26/06/1972,0
3/07/1972,3
5/07/1972,1
10/07/1972,9
18/07/1972,8
24/07/1972,25
27/07/1972,28
10/08/1972,33
20/08/1972,40
29/08/1972,43
12/09/1972,40
19/09/1972,38
28/09/1972,34
4/10/1972,33
16/10/1972,28
27/10/1972,17
2/11/1972,13
1/06/1973,0
12/06/1973,18
20/06/1973,20
24/06/1973,30
26/06/1973,30
3/07/1973,30
10/07/1973,35
16/07/1973,37
27/07/1973,44
16/08/1973,47
22/08/1973,43
4/09/1973,43
12/09/1973,45
21/09/1973,42
28/09/1973,42
23/11/1973,8
27/05/1974,25
5/06/1974,35
14/06/1974,33
21/06/1974,30
28/06/1974,38
4/07/1974,28
9/07/1974,45
26/08/1974,46
3/09/1974,46
17/09/1974,36
27/09/1974,30
3/10/1974,28
10/10/1974,28
23/10/1974,24
8/11/1974,10
13/11/1974,21
18/11/1974,20
25/11/1974,15
2/12/1974,3
27/06/1975,32
1/07/1975,31
4/07/1975,29
9/07/1975,28
16/07/1975,33
22/07/1975,40
28/07/1975,46
8/08/1975,44
14/08/1975,40
19/08/1975,44
28/08/1975,44
2/09/1975,40
8/09/1975,38
16/09/1975,38
23/09/1975,38
2/10/1975,35
6/10/1975,35
16/10/1975,30
22/10/1975,30
24/10/1975,28
4/11/1975,16
14/05/1976,0
17/05/1976,0
18/05/1976,0
20/05/1976,0
21/05/1976,0
25/05/1976,0
27/05/1976,0
31/05/1976,3
3/06/1976,3
8/06/1976,0
9/06/1976,0
14/06/1976,0
18/06/1976,0
21/06/1976,0
24/06/1976,3
25/06/1976,3
30/06/1976,8
5/07/1976,11
7/07/1976,10
12/07/1976,5
14/07/1976,2
16/07/1976,0
20/07/1976,0
23/07/1976,1
27/07/1976,6
3/08/1976,3
9/08/1976,10
16/08/1976,35
20/08/1976,34
3/09/1976,35
10/09/1976,36
13/09/1976,35
14/09/1976,35
17/09/1976,33
24/09/1976,24
28/09/1976,30
3/10/1976,30
4/10/1976,30
5/10/1976,30
7/10/1976,28
8/10/1976,28
12/10/1976,25
14/10/1976,24
15/10/1976,23
19/10/1976,23
20/10/1976,22
21/10/1976,20
22/10/1976,19
24/10/1976,18
25/10/1976,16
26/10/1976,15
27/10/1976,15
28/10/1976,13
29/10/1976,11
1/11/1976,7
2/11/1976,7
3/11/1976,5
9/11/1976,5
11/11/1976,12
12/11/1976,14
17/11/1976,5
13/05/1977,0
18/05/1977,0
23/05/1977,0
24/05/1977,0
6/06/1977,0
15/06/1977,8
21/06/1977,0
26/06/1977,1
30/06/1977,0
6/07/1977,0
10/07/1977,0
22/07/1977,20
29/07/1977,17
2/08/1977,20
4/08/1977,23
11/08/1977,32
12/08/1977,35
14/08/1977,35
15/08/1977,35
17/08/1977,38
19/08/1977,39
23/08/1977,38
25/08/1977,38
29/08/1977,38
31/08/1977,32
2/09/1977,37
5/09/1977,36
7/09/1977,36
9/09/1977,36
13/09/1977,34
21/09/1977,33
23/09/1977,32
27/09/1977,31
29/09/1977,31
3/10/1977,32
5/10/1977,31
7/10/1977,31
11/10/1977,29
14/10/1977,28
18/10/1977,25
19/10/1977,24
20/10/1977,23
21/10/1977,23
24/10/1977,18
25/10/1977,18
28/10/1977,16
31/10/1977,18
1/11/1977,17
3/11/1977,16
7/11/1977,11
23/05/1978,3
24/05/1978,1
29/05/1978,4
31/05/1978,0
6/06/1978,8
8/06/1978,3
15/06/1978,8
20/06/1978,8
21/06/1978,12
23/06/1978,35
26/06/1978,36
30/06/1978,40
7/07/1978,38
10/07/1978,38
12/07/1978,38
17/07/1978,46
21/07/1978,46
24/07/1978,43
28/07/1978,43
21/08/1978,38
24/08/1978,37
31/08/1978,35
6/09/1978,33
5/10/1978,48
12/10/1978,38
18/10/1978,35
23/10/1978,31
26/10/1978,28
27/10/1978,28
30/10/1978,26
2/11/1978,22
6/11/1978,18
8/11/1978,15
10/11/1978,13
13/11/1978,8
15/11/1978,3
4/06/1979,8
11/06/1979,31
12/06/1979,31
18/06/1979,28
22/06/1979,18
26/06/1979,31
28/06/1979,31
3/07/1979,28
6/07/1979,18
16/07/1979,0
7/08/1979,3
20/08/1979,3
30/08/1979,0
3/09/1979,0
5/09/1979,3
12/09/1979,3
25/09/1979,8
28/09/1979,11
1/10/1979,10
4/10/1979,5
5/10/1979,2
9/10/1979,0
17/10/1979,0
18/10/1979,1
22/10/1979,6
23/10/1979,31
25/10/1979,31
26/10/1979,28
29/10/1979,18
1/11/1979,0
15/11/1979,3
28/05/1980,0
5/06/1980,12
12/06/1980,7
19/06/1980,12
24/06/1980,40
26/06/1980,41
1/07/1980,43
3/07/1980,43
7/07/1980,42
9/07/1980,40
16/07/1980,48
23/07/1980,44
30/07/1980,46
1/08/1980,46
6/08/1980,46
12/08/1980,46
13/08/1980,46
20/08/1980,46
25/08/1980,45
