"","nicheout$RAINFALL"
"1",0.200000002980232
"2",0.400000005960464
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0.400000005960464
"16",0.100000001490116
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",31.3999996185303
"38",8.30000019073486
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0
"56",0
"57",0
"58",0
"59",0
"60",0
"61",0
"62",0
"63",0
"64",0
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",0
"77",0.5
"78",0.5
"79",1.60000002384186
"80",0.100000001490116
"81",0
"82",0
"83",0
"84",1.5
"85",0.200000002980232
"86",0
"87",0
"88",0
"89",0
"90",0.200000002980232
"91",0
"92",0
"93",9.30000019073486
"94",0.5
"95",0.899999976158142
"96",0
"97",0
"98",0
"99",0.300000011920929
"100",0.899999976158142
"101",0.800000011920929
"102",1.5
"103",0
"104",0
"105",0
"106",0
"107",0
"108",0.899999976158142
"109",0
"110",0
"111",0
"112",0
"113",0
"114",0
"115",0
"116",0
"117",0
"118",0
"119",0
"120",0
"121",17
"122",41.5999984741211
"123",0.100000001490116
"124",0.100000001490116
"125",0
"126",0
"127",0
"128",0
"129",0
"130",0
"131",0
"132",0
"133",0
"134",0
"135",0
"136",0
"137",0.300000011920929
"138",9.60000038146973
"139",13.6000003814697
"140",1.29999995231628
"141",0.100000001490116
"142",0
"143",0
"144",0
"145",0
"146",0
"147",0.800000011920929
"148",43.7000007629395
"149",35.5999984741211
"150",0.800000011920929
"151",2.90000009536743
"152",0.100000001490116
"153",3.20000004768372
"154",0
"155",0
"156",0
"157",0
"158",0
"159",1
"160",7.69999980926514
"161",0
"162",0.5
"163",0
"164",0
"165",0
"166",0
"167",23
"168",1.39999997615814
"169",3.59999990463257
"170",0
"171",0.800000011920929
"172",0.200000002980232
"173",0
"174",0
"175",0
"176",0.100000001490116
"177",1.60000002384186
"178",12
"179",14.1000003814697
"180",7.30000019073486
"181",3.20000004768372
"182",0.800000011920929
"183",10.8000001907349
"184",1.39999997615814
"185",4.5
"186",0
"187",0
"188",0
"189",0
"190",0.699999988079071
"191",0.200000002980232
"192",6.19999980926514
"193",25.8999996185303
"194",0.100000001490116
"195",1.70000004768372
"196",2.09999990463257
"197",6.5
"198",0
"199",0
"200",0
"201",0
"202",0
"203",6.5
"204",0.5
"205",0.600000023841858
"206",3.20000004768372
"207",7.40000009536743
"208",3.90000009536743
"209",4.59999990463257
"210",21.1000003814697
"211",9.10000038146973
"212",6.5
"213",0.200000002980232
"214",0
"215",1.70000004768372
"216",13.3999996185303
"217",0.200000002980232
"218",20
"219",12
"220",3.70000004768372
"221",9.10000038146973
"222",0.100000001490116
"223",0
"224",13
"225",1.5
"226",0.200000002980232
"227",12.6999998092651
"228",12.6000003814697
"229",0
"230",1
"231",0.100000001490116
"232",0
"233",0
"234",0
"235",0
"236",0
"237",16.2000007629395
"238",1.20000004768372
"239",0
"240",1.29999995231628
"241",17.2999992370605
"242",8.39999961853027
"243",1
"244",0.100000001490116
"245",0
"246",0
"247",13.8999996185303
"248",0.5
"249",5.90000009536743
"250",17.6000003814697
"251",13.1000003814697
"252",0
"253",0
"254",0.100000001490116
"255",3.40000009536743
"256",0.699999988079071
"257",0.100000001490116
"258",1.89999997615814
"259",5
"260",6.59999990463257
"261",4.09999990463257
"262",1.20000004768372
"263",0.200000002980232
"264",0
"265",0
"266",5.40000009536743
"267",0.300000011920929
"268",0
"269",0
"270",3.79999995231628
"271",0.699999988079071
"272",2.79999995231628
"273",11.6999998092651
"274",1.89999997615814
"275",12.1000003814697
"276",0
"277",0
"278",1.70000004768372
"279",0.200000002980232
"280",1.5
"281",1.10000002384186
"282",0.100000001490116
"283",0
"284",0
"285",0
"286",0
"287",0.699999988079071
"288",1.70000004768372
"289",1.5
"290",0.300000011920929
"291",0
"292",0
"293",0
"294",0
"295",0
"296",0.600000023841858
"297",0.200000002980232
"298",0.600000023841858
"299",0
"300",5.19999980926514
"301",0.699999988079071
"302",0.100000001490116
"303",0.400000005960464
"304",4.59999990463257
"305",1.20000004768372
"306",0
"307",0
"308",0
"309",0
"310",0
"311",0
"312",0.300000011920929
"313",1.89999997615814
"314",0
"315",0.5
"316",1.20000004768372
"317",0.400000005960464
"318",0.200000002980232
"319",1.39999997615814
"320",0.100000001490116
"321",0
"322",0
"323",0.100000001490116
"324",0
"325",0
"326",0
"327",0
"328",0
"329",0
"330",0.100000001490116
"331",0
"332",0
"333",0
"334",0
"335",0
"336",0
"337",0
"338",0
"339",0
"340",0
"341",0
"342",0
"343",0.100000001490116
"344",0.300000011920929
"345",0
"346",0
"347",0
"348",0
"349",0
"350",0
"351",0
"352",0
"353",0
"354",0
"355",0
"356",0
"357",0
"358",0
"359",0
"360",0
"361",0
"362",0.899999976158142
"363",0
"364",0
"365",0
"366",0
"367",0
"368",0
"369",0
"370",0
"371",0
"372",0
"373",0
"374",0
"375",0
"376",0
"377",0
"378",0
"379",0
"380",0.400000005960464
"381",0
"382",0
"383",0
"384",0
"385",0
"386",0
"387",0
"388",0
"389",0
"390",0.100000001490116
"391",0
"392",0
"393",0
"394",0
"395",0
"396",0
"397",0
"398",0
"399",0
"400",0
"401",0
"402",0
"403",0.200000002980232
"404",0
"405",0
"406",0
"407",0
"408",0
"409",0
"410",0
"411",0
"412",0
"413",0
"414",0
"415",0
"416",0
"417",0
"418",0
"419",0
"420",0
"421",0
"422",0
"423",0
"424",0
"425",0
"426",0
"427",0
"428",0
"429",0
"430",0
"431",0
"432",0
"433",0
"434",0
"435",0
"436",0
"437",0
"438",0
"439",0
"440",0
"441",0
"442",0
"443",0
"444",0
"445",0
"446",0
"447",0
"448",0
"449",0.800000011920929
"450",0
"451",0
"452",0.400000005960464
"453",0
"454",1.39999997615814
"455",0
"456",0.200000002980232
"457",0
"458",0
"459",0
"460",0
"461",0
"462",0
"463",0
"464",0
"465",0
"466",0
"467",0.400000005960464
"468",0
"469",0
"470",0
"471",2.5
"472",0
"473",0
"474",0
"475",0
"476",0
"477",0
"478",0
"479",0.100000001490116
"480",1.70000004768372
"481",0.100000001490116
"482",0.100000001490116
"483",0.300000011920929
"484",0
"485",0.200000002980232
"486",0
"487",0
"488",0
"489",0
"490",0
"491",0
"492",0
"493",0
"494",0
"495",0
"496",0
"497",0
"498",0.300000011920929
"499",0
"500",0
"501",3.29999995231628
"502",0
"503",0
"504",0
"505",0
"506",5.69999980926514
"507",8.69999980926514
"508",27.2000007629395
"509",25.1000003814697
"510",9
"511",3.09999990463257
"512",0.100000001490116
"513",0.200000002980232
"514",6.30000019073486
"515",13.3000001907349
"516",1
"517",5.40000009536743
"518",20.2000007629395
"519",0.899999976158142
