date,pondstate,min,max
1/01/2011,WET,24,28
2/01/2011,WET,25,29
3/01/2011,WET,23,27
4/01/2011,WET,24,27
5/01/2011,,,
6/01/2011,,,
7/01/2011,,,
8/01/2011,,,
9/01/2011,,,
10/01/2011,,,
11/01/2011,,,
12/01/2011,DRY,20,37
13/01/2011,DRY,22,34
14/01/2011,DRY,20,30
15/01/2011,DRY,21,32
16/01/2011,DRY,16,36
17/01/2011,DRY,24,35
18/01/2011,DRY,24,35
19/01/2011,DRY,23,33
20/01/2011,DRY,18,35
21/01/2011,DRY,19,35
22/01/2011,DRY,19,33
23/01/2011,DRY,22,30
24/01/2011,DRY,20,27
25/01/2011,DRY,18,33
26/01/2011,DRY,16,32
27/01/2011,DRY,19,35
28/01/2011,DRY,25,37
29/01/2011,DRY,24,41
30/01/2011,DRY,26,28
31/01/2011,DRY,23,34
1/02/2011,DRY,19,33
2/02/2011,DRY,18,34
3/02/2011,DRY,20,34
4/02/2011,DRY,23,34
5/02/2011,DRY,19,31
6/02/2011,DRY,17,30
7/02/2011,DRY,19,33
8/02/2011,DRY,22,35
9/02/2011,DRY,20,34
10/02/2011,DRY,21,36
11/02/2011,DRY,22,32
12/02/2011,DRY,20,34
13/02/2011,DRY,19,29
14/02/2011,DRY,21,35
15/02/2011,,,
16/02/2011,DRY,19,36
17/02/2011,DRY,22,34
18/02/2011,DRY,20,38
19/02/2011,DRY,21,37
20/02/2011,DRY,22,29
21/02/2011,DRY,22,36
22/02/2011,DRY,23,37
23/02/2011,DRY,23,39
24/02/2011,DRY,24,37
25/02/2011,DRY,25,41
26/02/2011,DRY,24,40
27/02/2011,DRY,25,40
28/02/2011,DRY,27,42
1/03/2011,DRY,26,38
2/03/2011,DRY,24,36
3/03/2011,DRY,22,36
4/03/2011,DRY,23,39
5/03/2011,DRY,23,35
6/03/2011,DRY,19,35
7/03/2011,DRY,19,33
8/03/2011,DRY,18,34
9/03/2011,DRY,21,36
10/03/2011,WET,24,29
11/03/2011,WET,22,24
12/03/2011,WET,21,28
13/03/2011,WET,20,29
14/03/2011,WET,22,29
15/03/2011,WET,23,29
16/03/2011,WET,22,31
17/03/2011,WET,24,30
18/03/2011,WET,24,29
19/03/2011,WET,24,30
20/03/2011,WET,24,29
21/03/2011,WET,21,27
22/03/2011,WET,24,28
23/03/2011,WET,24,28
24/03/2011,WET,23,29
25/03/2011,WET,23,29
26/03/2011,WET,20,29
27/03/2011,WET,22,28
28/03/2011,WET,22,28
29/03/2011,WET,23,28
30/03/2011,WET,22,27
31/03/2011,WET,21,27
1/04/2011,WET,21,26
2/04/2011,WET,21,26
3/04/2011,WET,23,28
4/04/2011,WET,24,29
5/04/2011,WET,24,29
6/04/2011,WET,23,26
7/04/2011,WET,19,26
8/04/2011,WET,22,26
10/04/2011,WET,22,25
11/04/2011,WET,21,26
12/04/2011,WET,23,27
13/04/2011,WET,23,27
14/04/2011,WET,23,28
15/04/2011,WET,22,28
16/04/2011,WET,23,27
17/04/2011,WET,22,26
18/04/2011,WET,23,28
19/04/2011,WET,23,27
20/04/2011,WET,21,24
21/04/2011,WET,21,25
22/04/2011,WET,22,27
23/04/2011,WET,23,26
24/04/2011,WET,23,26
25/04/2011,WET,23,26
26/04/2011,WET,23,26
27/04/2011,WET,21,26
28/04/2011,WET,19,25
29/04/2011,WET,17,25
30/04/2011,WET,17,24
1/05/2011,WET,19,23
2/05/2011,WET,19,24
3/05/2011,WET,19,24
4/05/2011,WET,20,25
5/05/2011,WET,20,25
6/05/2011,WET,20,25
7/05/2011,WET,20,25
8/05/2011,WET,20,25
9/05/2011,WET,20,25
10/05/2011,WET,20,25
11/05/2011,WET,19,23
12/05/2011,WET,19,23
13/05/2011,WET,20,23
14/05/2011,WET,19,23
15/05/2011,WET,19,23
16/05/2011,WET,19,24
17/05/2011,WET,19,23
18/05/2011,WET,19,23
19/05/2011,WET,19,22
20/05/2011,WET,20,23
21/05/2011,WET,18,21
22/05/2011,WET,18,20
23/05/2011,WET,18,21
24/05/2011,WET,19,21
25/05/2011,WET,18,21
26/05/2011,WET,18,21
27/05/2011,WET,18,21
28/05/2011,WET,18,21
29/05/2011,WET,17,22
30/05/2011,WET,17,22
31/05/2011,WET,19,21
1/06/2011,WET,19,21
2/06/2011,WET,19,22
3/06/2011,WET,18,21
4/06/2011,WET,17,20
5/06/2011,WET,16,19
6/06/2011,WET,17,19
7/06/2011,WET,17,19
8/06/2011,WET,16,19
9/06/2011,WET,17,20
10/06/2011,WET,16,18
11/06/2011,WET,16,18
12/06/2011,WET,16,19
13/06/2011,WET,16,17
14/06/2011,WET,16,15
15/06/2011,WET,15,19
16/06/2011,WET,16,20
17/06/2011,WET,16,19
18/06/2011,WET,17,20
19/06/2011,WET,17,20
20/06/2011,WET,17,21.5
21/06/2011,WET,19,21
22/06/2011,WET,17,20
23/06/2011,WET,17,20
24/06/2011,WET,17,19
25/06/2011,WET,16,20
26/06/2011,WET,16,20
27/06/2011,WET,17,21
28/06/2011,WET,16,18
29/06/2011,WET,16.5,19
30/06/2011,WET,16,18
1/07/2011,WET,16,18
2/07/2011,WET,16,17.5
3/07/2011,WET,17,18
4/07/2011,WET,16,17
5/07/2011,WET,15,17
6/07/2011,WET,15,18
7/07/2011,WET,15,18
8/07/2011,WET,16,18
9/07/2011,WET,15.5,18
10/07/2011,WET,15,17
11/07/2011,WET,14,16
12/07/2011,WET,14,19
13/07/2011,WET,16,18
14/07/2011,WET,16,20
15/07/2011,WET,17,18
16/07/2011,WET,17,20
17/07/2011,WET,17,19
18/07/2011,WET,17,19
19/07/2011,WET,17,20
20/07/2011,WET,17,19
21/07/2011,WET,16,19
22/07/2011,WET,16,20
23/07/2011,WET,17,19
24/07/2011,WET,18,19
25/07/2011,WET,18,19
26/07/2011,WET,17,21
27/07/2011,WET,17,21
28/07/2011,WET,17,19
29/07/2011,WET,17,18
30/07/2011,WET,17,20
31/07/2011,WET,18,20
1/08/2011,WET,16,18
2/08/2011,WET,17,18
3/08/2011,WET,17,20
4/08/2011,WET,16,19
5/08/2011,WET,15.5,19
6/08/2011,WET,16,19
7/08/2011,WET,16,21
8/08/2011,WET,18,21
9/08/2011,WET,18,21
10/08/2011,WET,16,20
11/08/2011,WET,16,20
12/08/2011,WET,16,20
13/08/2011,WET,16,20
14/08/2011,WET,16,20
15/08/2011,WET,15.5,19
16/08/2011,WET,15,18
17/08/2011,WET,16,20
18/08/2011,WET,16,21
19/08/2011,WET,16,22
20/08/2011,WET,17,23
21/08/2011,WET,17,23
22/08/2011,WET,17,22
23/08/2011,WET,17,22
24/08/2011,WET,17.5,21
25/08/2011,WET,17,21
26/08/2011,WET,16,22
27/08/2011,WET,17,22
28/08/2011,WET,17,22
29/08/2011,WET,17,23
30/08/2011,WET,17,23
31/08/2011,WET,17,24
1/09/2011,WET,17,23
2/09/2011,WET,17,21
3/09/2011,WET,17,20
4/09/2011,WET,17.5,22
5/09/2011,WET,17,22
6/09/2011,WET,17,22
7/09/2011,WET,17,22
8/09/2011,WET,17,23
9/09/2011,WET,17,22
10/09/2011,WET,17,23
11/09/2011,WET,17,24
12/09/2011,WET,17,24
13/09/2011,WET,17,25
14/09/2011,WET,19,25
15/09/2011,WET,20,21
16/09/2011,WET,20,21
17/09/2011,WET,19,22
18/09/2011,WET,18,20
19/09/2011,WET,19,22
20/09/2011,WET,19.5,22.5
21/09/2011,WET,18,20
22/09/2011,WET,17,22
23/09/2011,WET,17,24
