"","nicheout$RAINFALL"
"1",0
"2",0
"3",0
"4",0
"5",1.60000002384186
"6",13.1999998092651
"7",0.300000011920929
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0.200000002980232
"19",0
"20",0
"21",0
"22",0
"23",1.20000004768372
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0.300000011920929
"30",5.19999980926514
"31",1.70000004768372
"32",0.300000011920929
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0
"56",0
"57",0
"58",0
"59",0
"60",4.19999980926514
"61",0
"62",0
"63",0
"64",0
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",0
"77",0
"78",0
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",0
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0
"93",0
"94",0
"95",0
"96",0
"97",2.09999990463257
"98",0.800000011920929
"99",0
"100",0
"101",3.20000004768372
"102",0.5
"103",0
"104",0
"105",0
"106",0
"107",0
"108",0
"109",0
"110",0
"111",0
"112",0
"113",0.100000001490116
"114",1.39999997615814
"115",1.10000002384186
"116",0
"117",7.19999980926514
"118",10.6000003814697
"119",0.200000002980232
"120",0
"121",0
"122",0
"123",0
"124",0
"125",0
"126",0.899999976158142
"127",0
"128",0
"129",0
"130",0
"131",0
"132",0
"133",0
"134",0
"135",0
"136",0.600000023841858
"137",2.20000004768372
"138",7.90000009536743
"139",0
"140",22.3999996185303
"141",12.1999998092651
"142",0
"143",0
"144",0
"145",0
"146",0
"147",0
"148",0
"149",0
"150",25.7999992370605
"151",6.30000019073486
"152",14.1999998092651
"153",29
"154",0
"155",0
"156",0
"157",0
"158",0
"159",0
"160",0
"161",0
"162",0
"163",0
"164",0
"165",7.69999980926514
"166",10
"167",6.90000009536743
"168",0
"169",2.29999995231628
"170",4.40000009536743
"171",2.70000004768372
"172",0.200000002980232
"173",0
"174",0.100000001490116
"175",0.899999976158142
"176",50.4000015258789
